CCC testC: ;0.276;0.38;0.247;0.344;110
CCC testC: ;0.288;0.379;0.245;0.369;257
CCC testC: ;0.274;0.375;0.251;0.343;123
CCC testC: ;0.288;0.374;0.235;0.356;104
CCC testC: ;0.274;0.374;0.245;0.346;121
CCC testC: ;0.273;0.372;0.247;0.347;127
CCC testC: ;0.266;0.368;0.238;0.327;106
CCC testC: ;0.27;0.368;0.23;0.348;108
CCC testC: ;0.268;0.364;0.232;0.34;112
CCC testC: ;0.264;0.363;0.24;0.331;119
CCC testC: ;0.272;0.362;0.253;0.338;157
CCC testC: ;0.27;0.362;0.276;0.377;200
CCC testC: ;0.283;0.361;0.216;0.316;94
CCC testC: ;0.268;0.359;0.239;0.326;130
CCC testC: ;0.261;0.358;0.23;0.314;96
CCC testC: ;0.267;0.358;0.23;0.35;125
CCC testC: ;0.28;0.356;0.244;0.319;98
CCC testC: ;0.277;0.354;0.258;0.352;142
CCC testC: ;0.262;0.354;0.273;0.366;208
CCC testC: ;0.253;0.352;0.227;0.32;132
CCC testC: ;0.247;0.352;0.236;0.331;143
CCC testC: ;0.242;0.35;0.236;0.328;167
CCC testC: ;0.266;0.35;0.273;0.373;204
CCC testC: ;0.254;0.349;0.211;0.357;134
CCC testC: ;0.287;0.349;0.27;0.365;172
CCC testC: ;0.263;0.349;0.231;0.352;175
CCC testC: ;0.276;0.348;0.266;0.371;179
CCC testC: ;0.244;0.347;0.241;0.333;184
CCC testC: ;0.248;0.346;0.254;0.347;224
CCC testC: ;0.274;0.345;0.243;0.319;141
CCC testC: ;0.272;0.345;0.265;0.376;194
CCC testC: ;0.259;0.345;0.257;0.363;210
CCC testC: ;0.27;0.344;0.266;0.376;196
CCC testC: ;0.257;0.343;0.265;0.362;216
CCC testC: ;0.249;0.343;0.25;0.356;261
CCC testC: ;0.277;0.342;0.251;0.357;146
CCC testC: ;0.251;0.342;0.262;0.348;212
CCC testC: ;0.265;0.34;0.261;0.362;202
CCC testC: ;0.244;0.34;0.258;0.337;228
CCC testC: ;0.26;0.338;0.253;0.367;206
CCC testC: ;0.268;0.337;0.258;0.37;198
CCC testC: ;0.253;0.337;0.264;0.363;220
CCC testC: ;0.234;0.336;0.221;0.315;155
CCC testC: ;0.227;0.335;0.206;0.323;171
CCC testC: ;0.268;0.335;0.267;0.378;192
CCC testC: ;0.25;0.335;0.245;0.35;218
CCC testC: ;0.271;0.333;0.258;0.355;158
CCC testC: ;0.231;0.333;0.226;0.316;165
CCC testC: ;0.267;0.332;0.261;0.379;185
CCC testC: ;0.254;0.332;0.256;0.367;232
CCC testC: ;0.232;0.331;0.205;0.314;102
CCC testC: ;0.25;0.331;0.208;0.358;117
CCC testC: ;0.245;0.33;0.245;0.341;236
CCC testC: ;0.228;0.329;0.207;0.321;136
CCC testC: ;0.227;0.329;0.213;0.327;159
CCC testC: ;0.24;0.329;0.242;0.345;267
CCC testC: ;0.242;0.325;0.223;0.32;462
CCC testC: ;0.232;0.324;0.253;0.33;238
CCC testC: ;0.221;0.322;0.209;0.29;87
CCC testC: ;0.225;0.322;0.218;0.315;176
CCC testC: ;0.264;0.322;0.252;0.379;189
CCC testC: ;0.243;0.321;0.252;0.339;183
CCC testC: ;0.235;0.321;0.24;0.328;240
CCC testC: ;0.244;0.32;0.241;0.341;226
CCC testC: ;0.224;0.317;0.206;0.32;178
CCC testC: ;0.238;0.317;0.23;0.322;234
CCC testC: ;0.23;0.317;0.24;0.327;248
CCC testC: ;0.218;0.316;0.205;0.31;169
CCC testC: ;0.237;0.316;0.242;0.33;222
CCC testC: ;0.215;0.314;0.201;0.307;147
CCC testC: ;0.246;0.314;0.197;0.355;163
CCC testC: ;0.228;0.314;0.235;0.321;362
CCC testC: ;0.225;0.313;0.232;0.31;244
CCC testC: ;0.261;0.312;0.244;0.343;131
CCC testC: ;0.254;0.311;0.245;0.39;187
CCC testC: ;0.216;0.311;0.228;0.313;271
CCC testC: ;0.218;0.31;0.191;0.317;149
CCC testC: ;0.216;0.31;0.205;0.306;173
CCC testC: ;0.237;0.31;0.185;0.354;182
CCC testC: ;0.234;0.31;0.238;0.353;230
CCC testC: ;0.26;0.309;0.247;0.356;154
CCC testC: ;0.246;0.309;0.239;0.36;214
CCC testC: ;0.225;0.309;0.231;0.316;242
CCC testC: ;0.219;0.309;0.228;0.302;252
CCC testC: ;0.215;0.309;0.224;0.308;289
CCC testC: ;0.213;0.308;0.193;0.31;151
CCC testC: ;0.216;0.308;0.191;0.316;161
CCC testC: ;0.216;0.308;0.233;0.302;259
CCC testC: ;0.224;0.306;0.227;0.317;254
CCC testC: ;0.244;0.306;0.238;0.359;354
CCC testC: ;0.258;0.305;0.24;0.367;162
CCC testC: ;0.214;0.305;0.231;0.303;275
CCC testC: ;0.217;0.304;0.224;0.308;325
CCC testC: ;0.216;0.301;0.172;0.326;100
CCC testC: ;0.252;0.3;0.239;0.38;170
CCC testC: ;0.216;0.3;0.223;0.304;297
CCC testC: ;0.218;0.3;0.236;0.302;309
CCC testC: ;0.005;0.299;0.219;0.304;138
CCC testC: ;0.25;0.299;0.238;0.367;168
CCC testC: ;0.216;0.299;0.224;0.298;246
CCC testC: ;0.214;0.299;0.23;0.295;307
CCC testC: ;0.204;0.298;0.213;0.296;277
CCC testC: ;0.205;0.297;0.196;0.295;188
CCC testC: ;0.219;0.297;0.201;0.293;454
CCC testC: ;0.2;0.295;0.197;0.3;201
CCC testC: ;0.206;0.295;0.218;0.296;319
CCC testC: ;0.205;0.295;0.202;0.298;356
CCC testC: ;0.208;0.294;0.221;0.295;285
CCC testC: ;0.205;0.294;0.21;0.293;360
CCC testC: ;0.011;0.293;0.191;0.336;129
CCC testC: ;0.248;0.293;0.23;0.358;137
CCC testC: ;0.202;0.293;0.196;0.293;265
CCC testC: ;0.205;0.293;0.221;0.29;283
CCC testC: ;0.199;0.292;0.199;0.298;229
CCC testC: ;0.208;0.292;0.208;0.289;416
CCC testC: ;0.201;0.291;0.208;0.288;279
CCC testC: ;0.209;0.291;0.224;0.289;293
CCC testC: ;0.205;0.291;0.21;0.291;374
CCC testC: ;0.206;0.29;0.21;0.289;382
CCC testC: ;0.206;0.29;0.199;0.287;392
CCC testC: ;0.197;0.289;0.192;0.294;193
CCC testC: ;0.212;0.287;0.22;0.296;273
CCC testC: ;0.206;0.287;0.213;0.286;303
CCC testC: ;0.201;0.287;0.208;0.287;410
CCC testC: ;0.201;0.286;0.209;0.285;281
CCC testC: ;0.2;0.286;0.212;0.278;287
CCC testC: ;0.2;0.286;0.214;0.286;376
CCC testC: ;0.205;0.286;0.207;0.285;398
CCC testC: ;0.195;0.285;0.188;0.293;197
CCC testC: ;0.199;0.285;0.2;0.287;347
CCC testC: ;0.205;0.285;0.186;0.288;418
CCC testC: ;0.199;0.284;0.202;0.284;358
CCC testC: ;0.201;0.284;0.185;0.287;460
CCC testC: ;0.2;0.283;0.196;0.279;380
CCC testC: ;0.199;0.283;0.2;0.283;408
CCC testC: ;0.201;0.282;0.199;0.279;269
CCC testC: ;0.198;0.282;0.201;0.281;386
CCC testC: ;0.238;0.281;0.223;0.378;181
CCC testC: ;0.196;0.281;0.201;0.273;315
CCC testC: ;0.195;0.281;0.203;0.279;335
CCC testC: ;0.197;0.281;0.205;0.283;394
CCC testC: ;0.202;0.281;0.198;0.281;488
CCC testC: ;0.241;0.279;0.225;0.357;150
CCC testC: ;0.202;0.279;0.216;0.281;291
CCC testC: ;0.195;0.279;0.211;0.273;313
CCC testC: ;0.196;0.279;0.21;0.276;343
CCC testC: ;0.228;0.276;0.202;0.361;164
CCC testC: ;0.216;0.276;0.219;0.376;166
CCC testC: ;0.193;0.276;0.189;0.271;317
CCC testC: ;0.204;0.276;0.205;0.269;349
CCC testC: ;0.194;0.275;0.193;0.273;370
CCC testC: ;0.188;0.274;0.182;0.293;213
CCC testC: ;0.189;0.274;0.205;0.274;305
CCC testC: ;0.193;0.274;0.196;0.271;406
CCC testC: ;0.193;0.273;0.189;0.273;436
CCC testC: ;0.189;0.272;0.198;0.272;333
CCC testC: ;0.188;0.271;0.198;0.265;301
CCC testC: ;0.19;0.271;0.193;0.267;388
CCC testC: ;0.239;0.27;0.201;0.344;122
CCC testC: ;0.187;0.27;0.189;0.267;323
CCC testC: ;0.189;0.27;0.193;0.272;372
CCC testC: ;0.185;0.269;0.171;0.289;180
CCC testC: ;0.183;0.269;0.179;0.279;195
CCC testC: ;0.189;0.269;0.169;0.297;231
CCC testC: ;0.189;0.269;0.201;0.259;321
CCC testC: ;0.187;0.269;0.206;0.261;327
CCC testC: ;0.189;0.269;0.2;0.269;424
CCC testC: ;0.189;0.269;0.197;0.271;456
CCC testC: ;0.186;0.268;0.188;0.27;331
CCC testC: ;0.187;0.268;0.2;0.265;339
CCC testC: ;0.185;0.268;0.193;0.267;345
CCC testC: ;0.183;0.267;0.177;0.276;190
CCC testC: ;0.233;0.266;0.214;0.33;128
CCC testC: ;0.185;0.266;0.199;0.262;337
CCC testC: ;0.187;0.266;0.19;0.27;422
CCC testC: ;0.188;0.266;0.2;0.266;432
CCC testC: ;0.233;0.265;0.207;0.33;111
