CCC devel: ;0.484;0.554;0.43;0.559;273
CCC devel: ;0.495;0.552;0.391;0.566;454
CCC devel: ;0.399;0.548;0.412;0.569;92
CCC devel: ;0.489;0.548;0.452;0.555;146
CCC devel: ;0.487;0.543;0.39;0.551;462
CCC devel: ;0.485;0.541;0.445;0.558;131
CCC devel: ;0.474;0.54;0.452;0.55;142
CCC devel: ;0.477;0.538;0.444;0.546;141
CCC devel: ;0.48;0.536;0.445;0.556;154
CCC devel: ;0.473;0.536;0.434;0.553;226
CCC devel: ;0.463;0.528;0.417;0.539;236
CCC devel: ;0.461;0.526;0.4;0.527;291
CCC devel: ;0.453;0.522;0.417;0.53;254
CCC devel: ;0.451;0.52;0.417;0.524;297
CCC devel: ;0.47;0.519;0.42;0.562;111
CCC devel: ;0.46;0.519;0.435;0.531;158
CCC devel: ;0.452;0.518;0.407;0.522;285
CCC devel: ;0.454;0.517;0.437;0.539;206
CCC devel: ;0.452;0.517;0.399;0.524;325
CCC devel: ;0.461;0.516;0.44;0.53;179
CCC devel: ;0.466;0.515;0.416;0.567;99
CCC devel: ;0.447;0.514;0.386;0.52;398
CCC devel: ;0.465;0.511;0.419;0.558;105
CCC devel: ;0.464;0.511;0.42;0.562;128
CCC devel: ;0.443;0.51;0.418;0.511;246
CCC devel: ;0.447;0.51;0.375;0.517;303
CCC devel: ;0.444;0.509;0.429;0.519;218
CCC devel: ;0.442;0.508;0.423;0.521;210
CCC devel: ;0.455;0.507;0.42;0.558;137
CCC devel: ;0.443;0.507;0.396;0.514;309
CCC devel: ;0.438;0.504;0.413;0.508;242
CCC devel: ;0.442;0.504;0.428;0.519;261
CCC devel: ;0.459;0.503;0.413;0.56;109
CCC devel: ;0.455;0.503;0.419;0.544;162
CCC devel: ;0.446;0.502;0.432;0.524;192
CCC devel: ;0.439;0.502;0.417;0.516;267
CCC devel: ;0.44;0.502;0.352;0.51;341
CCC devel: ;0.44;0.501;0.418;0.54;98
CCC devel: ;0.457;0.501;0.412;0.551;122
CCC devel: ;0.439;0.5;0.429;0.515;202
